2025-07-30 01:59:34.014 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:34.245 | INFO     | __main__:get_school_info:65 - 第72页数据插入成功，插入30条数据
2025-07-30 01:59:34.570 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:34.804 | INFO     | __main__:get_school_info:65 - 第73页数据插入成功，插入30条数据
2025-07-30 01:59:35.140 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:35.376 | INFO     | __main__:get_school_info:65 - 第74页数据插入成功，插入30条数据
2025-07-30 01:59:35.694 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:35.947 | INFO     | __main__:get_school_info:65 - 第75页数据插入成功，插入30条数据
2025-07-30 01:59:36.276 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:36.515 | INFO     | __main__:get_school_info:65 - 第76页数据插入成功，插入30条数据
2025-07-30 01:59:36.872 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:37.179 | INFO     | __main__:get_school_info:65 - 第77页数据插入成功，插入30条数据
2025-07-30 01:59:37.499 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:37.745 | INFO     | __main__:get_school_info:65 - 第78页数据插入成功，插入30条数据
2025-07-30 01:59:38.061 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:38.308 | INFO     | __main__:get_school_info:65 - 第79页数据插入成功，插入30条数据
2025-07-30 01:59:38.653 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:38.900 | INFO     | __main__:get_school_info:65 - 第80页数据插入成功，插入30条数据
2025-07-30 01:59:39.223 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:39.505 | INFO     | __main__:get_school_info:65 - 第81页数据插入成功，插入30条数据
2025-07-30 01:59:39.828 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:40.106 | INFO     | __main__:get_school_info:65 - 第82页数据插入成功，插入30条数据
2025-07-30 01:59:40.440 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
2025-07-30 01:59:40.712 | INFO     | __main__:get_school_info:65 - 第83页数据插入成功，插入30条数据
2025-07-30 01:59:41.048 | INFO     | lib.base_requests:base_requests:40 - https://api.zjzw.cn/web/api/ 请求成功，状态码：200
